review,rating,sentiment,sentiment_ai,sentiment_final
"Спочатку - дуже хороші враження були, не без недоліків, але для офісної роботи вони були некритичними. Через півроку почала глючити, через рік перестала працювати права кнопка миші.
",2,Negative,Negative,Negative
"Купила для своєї бабусі у літню кухню. Дуже швидко прогріла приміщення і приємно порадувала варильна поверхня, на якій змогли приготувати їжу. Дякую за швидку доставку і якісну продукцію.
",5,Positive,Positive,Positive
"Дуже задоволена покупкою. Тканина дуже плотна. Прошите гарно. Наповнювач також всередині плотний. Тепле однозначно. І водночас легке
Готуємось до зими в умовах війни(((
",5,Positive,Positive,Positive
Чому розетка не реагує на негативні відгуки та запитання? Дуже швидко перестав працювати основний брелок. Сенс двосторонньої сигналізації зник ,1,Negative,Negative,Negative
"Отримав наушники, один не працює, хочу повернути товар, а зв'язатися немажливо телефони гарячої лінії не працюють, це жах якийсь, напишіть номер щоб зв'язатись з Вами, мені непрацюючий товар не потрібен.
",1,Negative,Negative,Negative
Гарний дизайн зручно лежить в руці. Вистачило на два місяці - після другого падіння відбилося колесо прокручування.,3,Neutral,Negative,Neutral
"Забрала вчора, виявився неробочим. Батерейок в комплекті не було, можливості перевірити на місці не було.
",1,Negative,Negative,Negative
"Папки не з тонкого картону, нормальні. Вагалась чи брати 50 шт, оскільки на сайті на папці написано ""папка для бумаг"" , а отримала з написом ""папка для паперів"" . Супер.",5,Positive,Neutral,Positive
"пуста траиа грошей. жахливий коврик. тільки діствли з упаковки розсипався на частини, разом деталі не тримаються взагалі.ще й попався з диркою пропаленою.
",1,Negative,Negative,Negative
"На четвертий раз приготування їжі п’єзо елемент перестав працювати. Звук від нього є, іскри і підпалу газу немає. Цікаво, через скільки разів перестане працювати сама плиточка?
",3,Neutral,Negative,Negative
"Прийшло замовлення оперативно, але не зовсім те що на фото. Відсутня скамья Скотта. Навіть в інструкції її нема. Куди можна звернутися, щоб вирішити цю проблему
",1,Negative,Negative,Negative
"Китайське г***о, ломається за 5 хвилин. Один прислали з ліхтарем з не тої сторони, могли би хоч перевірити. Своїх грошей не варте, краще свічку купити.",1,Negative,Negative,Negative
"Не продержався і року. В листопаді купив, в серпні сгорів. Це враховуючи що завжди був підключений до UPS.
",2,Negative,Negative,Negative
