,review,rating,entity_name,dataset_name,review_translate_sentences,review_translate_sentences_tokens,review_translate_sentences_pos,review_translate_sentences_lemma,is_question,sentiment,review_length
0,"Звертаюся до Розетки чи до представника бренду!
В комплекті була інструкція до іншої коси, 2-х тактної, де мені взяти інструкцію до цього товару???
",1.0,vitals_53951,rozetka,"['Звертаюся до Розетки чи до представника бренду !', 'В комплекті була інструкція до іншої коси , 2 - х тактної , де мені взяти інструкцію до цього товару ? ?', '?']","[['Звертаюся', 'до', 'Розетки', 'чи', 'до', 'представника', 'бренду', '!'], ['В', 'комплекті', 'була', 'інструкція', 'до', 'іншої', 'коси', ',', '2', '-', 'х', 'тактної', ',', 'де', 'мені', 'взяти', 'інструкцію', 'до', 'цього', 'товару', '?', '?'], ['?']]","[['VERB', 'NOUN', 'NOUN', 'PRCL', 'NOUN', 'NOUN', 'NOUN', 'PNCT'], ['PREP', 'NOUN', 'ADJF', 'NOUN', 'NOUN', 'NPRO', 'NOUN', 'PNCT', 'NUMB', 'PNCT', 'UNKN', 'ADJF', 'PNCT', 'PRCL', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NPRO', 'NOUN', 'PNCT', 'PNCT'], ['PNCT']]","[['звертатися', 'до', 'розетка', 'чи', 'до', 'представник', 'бренд', '!'], ['в', 'комплект', 'булий', 'інструкція', 'до', 'інший', 'коса', ',', '2', '-', 'х', 'тактний', ',', 'де', 'мен', 'взяти', 'інструкція', 'до', 'цей', 'товар', '?', '?'], ['?']]","[False, False, False]",Negative,23
1,"Купила собі цей чудо робот-пилосос. Задоволена на всі 100%.Свою роботу він робить відмінно. Рекомендую хто ще думає...
",5.0,dyxon-megavac-1200-white,rozetka,"['Купила собі цей чудо робот - пилосос .', 'Задоволена на всі 100 % .', 'Свою роботу він робить відмінно .', 'Рекомендую хто ще думає . . .']","[['Купила', 'собі', 'цей', 'чудо', 'робот', '-', 'пилосос', '.'], ['Задоволена', 'на', 'всі', '100', '%', '.'], ['Свою', 'роботу', 'він', 'робить', 'відмінно', '.'], ['Рекомендую', 'хто', 'ще', 'думає', '.', '.', '.']]","[['VERB', 'NOUN', 'NPRO', 'NOUN', 'NOUN', 'PNCT', 'NOUN', 'PNCT'], ['ADJF', 'INTJ', 'NPRO', 'NUMB', 'PNCT', 'PNCT'], ['NPRO', 'NOUN', 'NPRO', 'VERB', 'ADVB', 'PNCT'], ['VERB', 'CONJ', 'PRCL', 'VERB', 'PNCT', 'PNCT', 'PNCT']]","[['купити', 'соб', 'цей', 'чудо', 'робот', '-', 'пилосос', '.'], ['задоволений', 'на', 'весь', '100', '%', '.'], ['свій', 'робот', 'він', 'робити', 'відмінно', '.'], ['рекомендувати', 'хто', 'ще', 'думати', '.', '.', '.']]","[False, False, False, False]",Positive,17
2,"Одноразовий. Дитя папу раз його торкнувся і все пісні до кінця не грають та і нема там заявленої кількості пісень (рахувала)
",3.0,310853703,rozetka,"['Одноразовий .', 'Дитя папу раз його торкнувся і все пісні до кінця не грають та і нема там заявленої кількості пісень ( рахувала )']","[['Одноразовий', '.'], ['Дитя', 'папу', 'раз', 'його', 'торкнувся', 'і', 'все', 'пісні', 'до', 'кінця', 'не', 'грають', 'та', 'і', 'нема', 'там', 'заявленої', 'кількості', 'пісень', '(', 'рахувала', ')']]","[['ADJF', 'PNCT'], ['NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'CONJ', 'NPRO', 'ADJF', 'NOUN', 'NOUN', 'PRCL', 'VERB', 'CONJ', 'CONJ', 'PRED', 'PRCL', 'ADJF', 'NOUN', 'NOUN', 'PNCT', 'VERB', 'PNCT']]","[['одноразовий', '.'], ['дитя', 'папа', 'раз', 'йога', 'торкнутися', 'і', 'весь', 'пісний', 'до', 'кінець', 'не', 'грати', 'та', 'і', 'нема', 'там', 'заявлений', 'кількість', 'пісня', '(', 'рахувати', ')']]","[False, False]",Neutral,21
3,"Дешеві пігулки. Якщо ніякого ефекту не буде - не шкода грошей. Прийшло все закрите і запаяне плівкою. До того ж сама кришка з пломбою.
",4.0,enthermeal_ad3znc60em089,rozetka,"['Дешеві пігулки .', 'Якщо ніякого ефекту не буде - не шкода грошей .', 'Прийшло все закрите і запаяне плівкою .', 'До того ж сама кришка з пломбою .']","[['Дешеві', 'пігулки', '.'], ['Якщо', 'ніякого', 'ефекту', 'не', 'буде', '-', 'не', 'шкода', 'грошей', '.'], ['Прийшло', 'все', 'закрите', 'і', 'запаяне', 'плівкою', '.'], ['До', 'того', 'ж', 'сама', 'кришка', 'з', 'пломбою', '.']]","[['ADJF', 'NOUN', 'PNCT'], ['CONJ', 'NPRO', 'NOUN', 'PRCL', 'VERB', 'PNCT', 'PRCL', 'NOUN', 'NOUN', 'PNCT'], ['VERB', 'NPRO', 'ADJF', 'CONJ', 'ADJF', 'NOUN', 'PNCT'], ['NOUN', 'NOUN', 'CONJ', 'NPRO', 'NOUN', 'PREP', 'NOUN', 'PNCT']]","[['дешевий', 'пігулка', '.'], ['якщо', 'ніякий', 'ефект', 'не', 'бути', '-', 'не', 'шкода', 'гроші', '.'], ['прийти', 'весь', 'закритий', 'і', 'запаяний', 'плівка', '.'], ['до', 'тога', 'ж', 'самий', 'кришка', 'з', 'пломба', '.']]","[False, False, False, False]",Positive,24
4,"Отримала сьогодні тискомір не той що замовила?!Коли передзвонила ,то мене ще звинуватили ,що не вмію з ним працювати.Люди не купляйтесь на таких продавців ,що обманюють людей?!
",1.0,251959466,rozetka,"['Отримала сьогодні тискомір не той що замовила ? !', 'Коли передзвонила , то мене ще звинуватили , що не вмію з ним працювати .', 'Люди не купляйтесь на таких продавців , що обманюють людей ?', '!']","[['Отримала', 'сьогодні', 'тискомір', 'не', 'той', 'що', 'замовила', '?', '!'], ['Коли', 'передзвонила', ',', 'то', 'мене', 'ще', 'звинуватили', ',', 'що', 'не', 'вмію', 'з', 'ним', 'працювати', '.'], ['Люди', 'не', 'купляйтесь', 'на', 'таких', 'продавців', ',', 'що', 'обманюють', 'людей', '?'], ['!']]","[['VERB', 'ADVB', 'NOUN', 'PRCL', 'NPRO', 'CONJ', 'VERB', 'PNCT', 'PNCT'], ['PRCL', 'VERB', 'PNCT', 'CONJ', 'NOUN', 'PRCL', 'VERB', 'PNCT', 'CONJ', 'PRCL', 'VERB', 'PREP', 'NPRO', 'VERB', 'PNCT'], ['NOUN', 'PRCL', 'VERB', 'INTJ', 'NPRO', 'NOUN', 'PNCT', 'CONJ', 'VERB', 'NOUN', 'PNCT'], ['PNCT']]","[['отримати', 'сьогодні', 'тискомір', 'не', 'той', 'що', 'замовити', '?', '!'], ['коли', 'передзвонити', ',', 'то', 'мен', 'ще', 'звинуватити', ',', 'що', 'не', 'вміти', 'з', 'він', 'працювати', '.'], ['люди', 'не', 'купляватися', 'на', 'такий', 'продавець', ',', 'що', 'обманювати', 'люди', '?'], ['!']]","[False, False, False, False]",Negative,26
5,"Проблема тонкої обкладинки вирішується цупкою обгорткою або можна накласти ще одну, вже підписану з іншого зошита.
",5.0,tetrada_492040,rozetka,"['Проблема тонкої обкладинки вирішується цупкою обгорткою або можна накласти ще одну , вже підписану з іншого зошита .']","[['Проблема', 'тонкої', 'обкладинки', 'вирішується', 'цупкою', 'обгорткою', 'або', 'можна', 'накласти', 'ще', 'одну', ',', 'вже', 'підписану', 'з', 'іншого', 'зошита', '.']]","[['NOUN', 'ADJF', 'NOUN', 'VERB', 'ADJF', 'NOUN', 'CONJ', 'PRED', 'VERB', 'PRCL', 'NPRO', 'PNCT', 'ADVB', 'ADJF', 'PREP', 'NPRO', 'NOUN', 'PNCT']]","[['проблема', 'тонкий', 'обкладинка', 'вирішуватися', 'цупкий', 'обгортка', 'або', 'можна', 'накласти', 'ще', 'один', ',', 'вже', 'підписаний', 'з', 'інший', 'зошит', '.']]",[False],Positive,16
6,"Почав встановлювати, а мийка вигнута дугою. По краях лежить ідеально на столешні, а посередині щілина майже в півсантиметри. Як так???
",1.0,vankor_emp_02_76xl_gray,rozetka,"['Почав встановлювати , а мийка вигнута дугою .', 'По краях лежить ідеально на столешні , а посередині щілина майже в півсантиметри .', 'Як так ? ?', '?']","[['Почав', 'встановлювати', ',', 'а', 'мийка', 'вигнута', 'дугою', '.'], ['По', 'краях', 'лежить', 'ідеально', 'на', 'столешні', ',', 'а', 'посередині', 'щілина', 'майже', 'в', 'півсантиметри', '.'], ['Як', 'так', '?', '?'], ['?']]","[['VERB', 'VERB', 'PNCT', 'CONJ', 'NOUN', 'ADJF', 'NOUN', 'PNCT'], ['PREP', 'NOUN', 'VERB', 'ADVB', 'INTJ', 'NOUN', 'PNCT', 'CONJ', 'ADVB', 'NOUN', 'ADVB', 'PREP', 'NOUN', 'PNCT'], ['PRCL', 'PRCL', 'PNCT', 'PNCT'], ['PNCT']]","[['почати', 'встановлювати', ',', 'а', 'мийка', 'вигнутий', 'дуга', '.'], ['по', 'край', 'лежати', 'ідеально', 'на', 'столешня', ',', 'а', 'посередині', 'щілина', 'майже', 'в', 'півсантиметр', '.'], ['як', 'так', '?', '?'], ['?']]","[False, False, False, False]",Negative,20
7,"Порадив придбати лікар-ортодонт для ополіскування ротової порожнини після чищення зубів (встановлені брекети). Ополіскувач видаляє бактерії, з якими не впоралася зубна паста. Результатом задоволена і я і лікар-ортодонт. Все супер
",5.0,dentaid_8427426046764,rozetka,"['Порадив придбати лікар - ортодонт для ополіскування ротової порожнини після чищення зубів ( встановлені брекети ) .', 'Ополіскувач видаляє бактерії , з якими не впоралася зубна паста .', 'Результатом задоволена і я і лікар - ортодонт .', 'Все супер']","[['Порадив', 'придбати', 'лікар', '-', 'ортодонт', 'для', 'ополіскування', 'ротової', 'порожнини', 'після', 'чищення', 'зубів', '(', 'встановлені', 'брекети', ')', '.'], ['Ополіскувач', 'видаляє', 'бактерії', ',', 'з', 'якими', 'не', 'впоралася', 'зубна', 'паста', '.'], ['Результатом', 'задоволена', 'і', 'я', 'і', 'лікар', '-', 'ортодонт', '.'], ['Все', 'супер']]","[['VERB', 'VERB', 'NOUN', 'PNCT', 'NOUN', 'PREP', 'NOUN', 'ADJF', 'NOUN', 'ADVB', 'NOUN', 'NOUN', 'PNCT', 'ADJF', 'NOUN', 'PNCT', 'PNCT'], ['NOUN', 'VERB', 'NOUN', 'PNCT', 'PREP', 'NPRO', 'PRCL', 'VERB', 'ADJF', 'NOUN', 'PNCT'], ['NOUN', 'ADJF', 'CONJ', 'NPRO', 'CONJ', 'NOUN', 'PNCT', 'NOUN', 'PNCT'], ['NPRO', 'NOUN']]","[['порадити', 'придбати', 'лікар', '-', 'ортодонт', 'для', 'ополіскування', 'ротовий', 'порожнина', 'після', 'чищення', 'зуб', '(', 'встановлений', 'брекет', ')', '.'], ['ополіскувач', 'видаляти', 'бактерія', ',', 'з', 'який', 'не', 'впоратися', 'зубний', 'паста', '.'], ['результат', 'задоволений', 'і', 'я', 'і', 'лікар', '-', 'ортодонт', '.'], ['весь', 'супер']]","[False, False, False, False]",Positive,29
8,"Ручка обламалась на першій свічці.
виймаєш вороток, а головка залишається в свічці яку не викрутити бо ручка обломана
",1.0,lavita_la_511504,rozetka,"['Ручка обламалась на першій свічці .', 'виймаєш вороток , а головка залишається в свічці яку не викрутити бо ручка обломана']","[['Ручка', 'обламалась', 'на', 'першій', 'свічці', '.'], ['виймаєш', 'вороток', ',', 'а', 'головка', 'залишається', 'в', 'свічці', 'яку', 'не', 'викрутити', 'бо', 'ручка', 'обломана']]","[['NOUN', 'VERB', 'INTJ', 'ADJF', 'NOUN', 'PNCT'], ['VERB', 'NOUN', 'PNCT', 'CONJ', 'NOUN', 'VERB', 'PREP', 'NOUN', 'NPRO', 'PRCL', 'VERB', 'PRCL', 'NOUN', 'NOUN']]","[['ручка', 'обламатися', 'на', 'перший', 'свічка', '.'], ['виймати', 'вороток', ',', 'а', 'головка', 'залишатися', 'в', 'свічка', 'який', 'не', 'викрутити', 'бо', 'ручка', 'обломана']]","[False, False]",Negative,18
9,"У мене автомобіль КІА з салону стояв акумулятор виробництва Solite і він пропрацював рівно десять років. Кращої реклами неможливо придумати.
",5.0,solite_cmf62al,rozetka,"['У мене автомобіль КІА з салону стояв акумулятор виробництва Solite і він пропрацював рівно десять років .', 'Кращої реклами неможливо придумати .']","[['У', 'мене', 'автомобіль', 'КІА', 'з', 'салону', 'стояв', 'акумулятор', 'виробництва', 'Solite', 'і', 'він', 'пропрацював', 'рівно', 'десять', 'років', '.'], ['Кращої', 'реклами', 'неможливо', 'придумати', '.']]","[['PREP', 'NOUN', 'NOUN', 'UNKN', 'PREP', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'LATN', 'CONJ', 'NPRO', 'VERB', 'ADVB', 'NUMR', 'NOUN', 'PNCT'], ['ADJF', 'NOUN', 'ADVB', 'VERB', 'PNCT']]","[['у', 'мен', 'автомобіль', 'кіа', 'з', 'салон', 'стояти', 'акумулятор', 'виробництво', 'solite', 'і', 'він', 'пропрацювати', 'рівно', 'десять', 'рік', '.'], ['кращий', 'реклама', 'неможливо', 'придумати', '.']]","[False, False]",Positive,20
