,review,item,sale_info,complaints
0,"Звертаюся до Розетки чи до представника бренду!
В комплекті була інструкція до іншої коси, 2-х тактної, де мені взяти інструкцію до цього товару???
",Коса 2-тактна,None,Нема інструкції до цього товару
1,"Купила собі цей чудо робот-пилосос. Задоволена на всі 100%.Свою роботу він робить відмінно. Рекомендую хто ще думає...
",Робот-пилосос,None,None
2,"Одноразовий. Дитя папу раз його торкнувся і все пісні до кінця не грають та і нема там заявленої кількості пісень (рахувала)
",Плеєр,None,"Кількість пісень не відповідає зазначеній, пісні догравати не хочуть після першого торкання дитиною"
3,"Дешеві пігулки. Якщо ніякого ефекту не буде - не шкода грошей. Прийшло все закрите і запаяне плівкою. До того ж сама кришка з пломбою.
",Дешеві пігулки,None,"Товар прийшов запаяний плівкою та з пломбою на кришці, що ускладнює його відкриття"
4,"Отримала сьогодні тискомір не той що замовила?!Коли передзвонила ,то мене ще звинуватили ,що не вмію з ним працювати.Люди не купляйтесь на таких продавців ,що обманюють людей?!
",Тискомір,None,"Клієнтка отримала не те товари, що замовила. Продавці звинуватили клієнтку, що вона не вміє користуватися товаром. Клієнтка зазначила, що продавці обманюють покупців."
5,"Проблема тонкої обкладинки вирішується цупкою обгорткою або можна накласти ще одну, вже підписану з іншого зошита.
",Обгортка для зошита,None,Проблема з тонкою обкладинкою
6,"Почав встановлювати, а мийка вигнута дугою. По краях лежить ідеально на столешні, а посередині щілина майже в півсантиметри. Як так???
",Мійка,None,Мійка вигнута дугою та має щілину в середині
7,"Порадив придбати лікар-ортодонт для ополіскування ротової порожнини після чищення зубів (встановлені брекети). Ополіскувач видаляє бактерії, з якими не впоралася зубна паста. Результатом задоволена і я і лікар-ортодонт. Все супер
",Лікар-ортодонт для ополіскування ротової порожнини після чищення зубів (встановлені брекети),None,None
8,"Ручка обламалась на першій свічці.
виймаєш вороток, а головка залишається в свічці яку не викрутити бо ручка обломана
",Свічка,None,"Ручка обламалась на першій свічці, виймаєш вороток, а головка залишається в свічці, яку не викрутити бо ручка обломана"
9,"У мене автомобіль КІА з салону стояв акумулятор виробництва Solite і він пропрацював рівно десять років. Кращої реклами неможливо придумати.
",Акумулятор Solite для автомобіля КІА,None,None
10,"Звертаюся до Розетки чи до представника бренду!
В комплекті була інструкція до іншої коси, 2-х тактної, де мені взяти інструкцію до цього товару???
",Коса 2-тактна,None,Нема інструкції до цього товару
11,"Купила собі цей чудо робот-пилосос. Задоволена на всі 100%.Свою роботу він робить відмінно. Рекомендую хто ще думає...
",Робот-пилосос,None,None
12,"Одноразовий. Дитя папу раз його торкнувся і все пісні до кінця не грають та і нема там заявленої кількості пісень (рахувала)
",Плеєр,None,"Кількість пісень не відповідає зазначеній, пісні догравати не хочуть після першого торкання дитиною"
13,"Дешеві пігулки. Якщо ніякого ефекту не буде - не шкода грошей. Прийшло все закрите і запаяне плівкою. До того ж сама кришка з пломбою.
",Дешеві пігулки,None,"Товар прийшов запаяний плівкою та з пломбою на кришці, що ускладнює його відкриття"
14,"Отримала сьогодні тискомір не той що замовила?!Коли передзвонила ,то мене ще звинуватили ,що не вмію з ним працювати.Люди не купляйтесь на таких продавців ,що обманюють людей?!
",Тискомір,None,"Клієнтка отримала не те товари, що замовила. Продавці звинуватили клієнтку, що вона не вміє користуватися товаром. Клієнтка зазначила, що продавці обманюють покупців."
15,"Проблема тонкої обкладинки вирішується цупкою обгорткою або можна накласти ще одну, вже підписану з іншого зошита.
",Обгортка для зошита,None,Проблема з тонкою обкладинкою
16,"Почав встановлювати, а мийка вигнута дугою. По краях лежить ідеально на столешні, а посередині щілина майже в півсантиметри. Як так???
",Мійка,None,Мійка вигнута дугою та має щілину в середині
17,"Порадив придбати лікар-ортодонт для ополіскування ротової порожнини після чищення зубів (встановлені брекети). Ополіскувач видаляє бактерії, з якими не впоралася зубна паста. Результатом задоволена і я і лікар-ортодонт. Все супер
",Лікар-ортодонт для ополіскування ротової порожнини після чищення зубів (встановлені брекети),None,None
